T, Memory Usage (MB)
1.0, 438, 438, 440, 438, 438, 438, 438, 438, 440, 438
1.5, 512, 512, 512, 512, 512, 512, 512, 512, 512, 514
2.0, 596, 594, 594, 594, 594, 594, 594, 594, 594, 594
2.5, 668, 666, 666, 666, 666, 666, 666, 666, 666, 666
3.0, 752, 752, 754, 754, 754, 754, 754, 754, 754, 754
3.5, 826, 826, 826, 826, 826, 826, 826, 826, 826, 826
4.0, 906, 906, 906, 906, 906, 908, 908, 908, 908, 908
4.5, 980, 980, 980, 980, 980, 980, 980, 980, 980, 980
5.0, 1060, 1060, 1060, 1060, 1060, 1060, 1060, 1060, 1060, 1062
